00ROPC9999BOVESPA 99992017030320170303                                                                                                                          
01BRAP        PN      N1201703203417000070BRAPC97     000000010000000000961000000000000000000000000000000000000000500000000000000500000000000100000011292ACN    
01BRAP        PN      N1201703200124000070BRAPC79     000000010000000001901000000000006700000000000000000000000000000000000000000006700000000100000011302ACN    
01BRAP        PN      N1201703200108000070BRAPC61     000000010000000002101000000000000000000000000000000000000000030500000000000030500000000100000011302ACN    
01BRAP        PN      N1201703200035000070BRAPC71     000000010000000002151000000000000000000000000000000000000000046700000000000046700000000200000021302ACN    
01BRAP        PN      N1201703200132000070BRAPC74     000000010000000002401000000000000000000000000000000000000000055300000000000055300000000100000011302ACN    
01BRFS        ON      NM201703200965000070BRFSC93     000000010000000005083000000000000000000000000005800000000000018100000000000023900000000300000021152ACN    
01BRFS        ON      NM201703201015000070BRFSC4      000000010000000005183000000000000000000000000026000000000000025600000000000051600000000500000031152ACN    
01BRFS        ON      NM201703200973000070BRFSC94     000000010000000005883000000000005800000000000005800000000000000000000000000011600000000100000011152ACN    
01BRFS        ON      NM201703201023000070BRFSC30     000000010000000005983000000000010600000000000010600000000000000000000000000021200000000100000021152ACN    
01BRFS        ON      NM201703200841000070BRFSC46     000000010000000006583000000000000000000000000000100000000000000000000000000000100000000100000011152ACN    
01BRFS        ON      NM201703201848000070BRFSC40     000000010000000004008000000000000000000000000002000000000000000000000000000002000000000400000011171ACN    
01BRFS        ON      NM201703203352000070BRFSC41     000000010000000004108000000000017300000000000000000000000000000700000000000018000000000600000051171ACN    
01BRFS        ON      NM201703202186000070BRFSC42     000000010000000004208000000000011900000000000010600000000000021100000000000043600000000700000111171ACN    
01BRFS        ON      NM201703202208000070BRFSC43     000000010000000004308000000000003000000000000106500000000000003500000000000113000000001000000091171ACN    
01BRFS        ON      NM201703202216000070BRFSC13     000000010000000004358000000000040800000000000010000000000000031400000000000082200000000800000181171ACN    
01BRFS        ON      NM201703202224000070BRFSC44     000000010000000004408000000000008900000000000062500000000000199100000000000270500000000900000161171ACN    
01BRFS        ON      NM201703202232000070BRFSC14     000000010000000004458000000000016100000000000012500000000000015100000000000043700000000900000141171ACN    
01BRFS        ON      NM201703202240000070BRFSC45     000000010000000004508000000000046300000000000055000000000000017100000000000118400000001200000131171ACN    
01BRFS        ON      NM201703202259000070BRFSC15     000000010000000004558000000000004700000000000097200000000000054500000000000156400000001100000091171ACN    
01BRFS        ON      NM201703203166000070BRFSC25     000000010000000004583000000000000000000000000000400000000000000100000000000000500000000100000031172ACN    
01BRFS        ON      NM201703202267000070BRFSC6      000000010000000004608000000000016900000000000000000000000000000700000000000017600000000200000101171ACN    
01BRFS        ON      NM201703202275000070BRFSC16     000000010000000004658000000000001600000000000016500000000000001300000000000019400000001000000091171ACN    
01BRFS        ON      NM201703202283000070BRFSC47     000000010000000004708000000000000400000000000010200000000000007400000000000018000000000400000081171ACN    
01BRFS        ON      NM201703202291000070BRFSC7      000000010000000004758000000000004100000000000023000000000000307400000000000334500000001000000131171ACN    
01BRFS        ON      NM201703202305000070BRFSC48     000000010000000004808000000000001000000000000005300000000000001900000000000008200000000500000051171ACN    
01BRFS        ON      NM201703202313000070BRFSC18     000000010000000004858000000000000000000000000113500000000000002500000000000116000000000400000051171ACN    
01BRFS        ON      NM201703202321000070BRFSC49     000000010000000004908000000000000000000000000318100000000000014400000000000332500000000600000031171ACN    
01BRFS        ON      NM201703202330000070BRFSC19     000000010000000004958000000000000000000000000008800000000000083100000000000091900000000600000081171ACN    
01BRFS        ON      NM201703203301000070BRFSC29     000000010000000004983000000000000000000000000100000000000000003500000000000103500000000400000021172ACN    
01BRFS        ON      NM201703202348000070BRFSC50     000000010000000005033000000000001500000000000000000000000000000500000000000002000000000100000031171ACN    
01BRFS        ON      NM201703202364000070BRFSC52     000000010000000005233000000000000000000000000005100000000000010400000000000015500000000400000031171ACN    
01BRFS        ON      NM201703202380000070BRFSC55     000000010000000005533000000000000000000000000000300000000000000000000000000000300000000100000011171ACN    
01BRFS        ON      NM201703201864000070BRFSC58     000000010000000005833000000000000000000000000000000000000000300000000000000300000000000100000011171ACN    
01BRFS  FM    ON      NM201703203417000070BRFSC68     000000010000000003858000000000000000000000000002500000000000000000000000000002500000000100000011171ACN    
01BRFS  FM    ON      NM201703203433000070BRFSC9      000000010000000003958000000000004300000000000008800000000000003000000000000016100000000300000041171ACN    
01BRFS  FM    ON      NM201703203344000070BRFSC20     000000010000000004058000000000009100000000000000100000000000001000000000000010200000000600000081171ACN    
01BRFS  FM    ON      NM201703202178000070BRFSC11     000000010000000004158000000000037400000000000014100000000000012400000000000063900000001400000101171ACN    
01BRFS  FM    ON      NM201703202194000070BRFSC12     000000010000000004258000000000095300000000000089600000000000038000000000000222900000001500000201171ACN    
01BRIN        ON      NM201703200302000070BRINC79     000000010000000001925000000000135000000000000000000000000000028000000000000163000000000200000041112ACN    
01BRKM        PNA     N1201703200191000070BRKMC51     000000010000000002198000000000751000000000000000000000000000000000000000000751000000000300000011141ACN    
01BRKM        PNA     N1201703200221000070BRKMC11     000000010000000003173000000001205000000000000000000000000000000000000000001205000000000300000011142ACN    
01BRKM        PNA     N1201703200230000070BRKMC10     000000010000000004098000000000002000000000000000000000000000000000000000000002000000000100000011141ACN    
01BRML        ON      NM201703203123000070BRMLC6      000000010000000001231000000000002000000000000352100000000000005700000000000359800000002200000061081ACN    
01BRML        ON      NM201703203093000070BRMLC87     000000010000000001346000000000000000000000000157100000000000471900000000000629000000000300000031081ACN    
01BRML        ON      NM201703203131000070BRMLC78     000000010000000001442000000000000000000000000000000000000000237900000000000237900000000100000011082ACN    
01BRML        ON      NM201703202224000070BRMLC95     000000010000000000955000000000000000000000000157000000000008950000000000009107000000000200000181091ACN    
01BRML        ON      NM201703202283000070BRMLC42     000000010000000001281000000000000000000000000000200000000000000000000000000000200000000100000011091ACN    
01BRML        ON      NM201703202291000070BRMLC43     000000010000000001396000000000000000000000000132800000000000083400000000000216200000000200000031091ACN    
01BRML        ON      NM201703202895000070BRMLC75     000000010000000001592000000000000000000000000016600000000002400100000000002416700000000600000041092ACN    
01BRML        ON      NM201703203247000070BRMLC76     000000010000000001692000000000000000000000000000000000000002000000000000002000000000000200000041092ACN    
01BRML        ON      NM201703202356000070BRMLC17     000000010000000001717000000000000000000000000007000000000000000000000000000007000000000500000031091ACN    
01BRML  FM    ON      NM201703202305000070BRMLC44     000000010000000001467000000000003000000000000019200000000000004600000000000026800000000100000031091ACN    
01BRML  FM    ON      NM201703202313000070BRMLC15     000000010000000001517000000000001700000000000152800000000000001700000000000156200000000500000111091ACN    
01BRML  FM    ON      NM201703202321000070BRMLC45     000000010000000001567000000000001000000000000017300000000000000800000000000019100000000600000041091ACN    
01BRML  FM    ON      NM201703202330000070BRMLC16     000000010000000001617000000000000000000000000189810000000000051790000000000241600000001100000041091ACN    
01BRML  FM    ON      NM201703202348000070BRMLC46     000000010000000001667000000000000000000000000000000000000000007500000000000007500000000300000011091ACN    
01BVMF        ON      NM201703200612000070BVMFC1      000000010000000000957000000000000000000000000060000000000000000000000000000060000000000300000011361ACN    
01BVMF        ON      NM201703200620000070BVMFC31     000000010000000001132000000000119900000000000001000000000000000000000000000120900000000200000031362ACN    
01BVMF        ON      NM201703200906000070BVMFC24     000000010000000001357000000000090000000000000000000000000000004200000000000094200000000200000031361ACN    
01BVMF        ON      NM201703201066000070BVMFC54     000000010000000001382000000000001000000000000000000000000000000000000000000001000000000100000011362ACN    
01BVMF        ON      NM201703201058000070BVMFC27     000000010000000001732000000000007700000000000000000000000000000000000000000007700000000100000011362ACN    
01BVMF        ON      NM201703202143000070BVMFC22     000000010000000002157000000000063300000000000867600000000000607700000000001538600000009200001541361ACN    
01BVMF        ON      NM201703200221000070BVMFC65     000000010000000001482000000000000000000000000000000000000000075000000000000075000000000300000021382ACN    
01BVMF        ON      NM201703200108000070BVMFC12     000000010000000001207000000000406400000000000000000000000000000000000000000406400000000200000021391ACN    
01BVMF        ON      NM201703200132000070BVMFC14     000000010000000001407000000000000500000000000000000000000000000000000000000000500000000100000011391ACN    
01BVMF        ON      NM201703200035000070BVMFC45     000000010000000001532000000000000000000000000000000000000000090000000000000090000000000100000011392ACN    
01BVMF        ON      NM201703200167000070BVMFC25     000000010000000001557000000000005600000000000147600000000000214800000000000368000000000200000051391ACN    
01BVMF        ON      NM201703200175000070BVMFC16     000000010000000001607000000000000000000000000000000000000000000100000000000000100000000100000011391ACN    
01BVMF        ON      NM201703200183000070BVMFC46     000000010000000001657000000000002000000000000004400000000000026000000000000032400000000300000061391ACN    
01BVMF        ON      NM201703200191000070BVMFC17     000000010000000001707000000000005100000000000017300000000000596000000000000618400000000400000091391ACN    
01BVMF        ON      NM201703200205000070BVMFC47     000000010000000001757000000000011200000000000015000000000000019500000000000045700000000200000061391ACN    
01BVMF        ON      NM201703200329000070BVMFC78     000000010000000001782000000000002000000000000000000000000000003300000000000005300000000200000041392ACN    
01BVMF        ON      NM201703200213000070BVMFC18     000000010000000001807000000000111300000000000042100000000000002800000000000156200000000800000141391ACN    
01BVMF        ON      NM201703200248000070BVMFC60     000000010000000002032000000000595000000000000009900000000000330700000000000935600000004200000281391ACN    
01BVMF        ON      NM201703200027000070BVMFC51     000000010000000002132000000000010300000000000034400000000000008100000000000052800000001100000181391ACN    
01BVMF        ON      NM201703200264000070BVMFC2      000000010000000002207000000000001200000000000011000000000000008200000000000020400000000200000041391ACN    
01BVMF        ON      NM201703200272000070BVMFC52     000000010000000002257000000000000000000000000017300000000000000000000000000017300000000400000031391ACN    
01BVMF        ON      NM201703200280000070BVMFC23     000000010000000002307000000000000000000000000019700000000000001000000000000020700000000500000041391ACN    
01BVMF        ON      NM201703200957000070BVMFC71     000000010000000001182000000000350000000000000000100000000000000000000000000350100000000100000021402ACN    
01BVMF        ON      NM201703200647000070BVMFC9      000000010000000001907000000000000800000000001861800000000000025700000000001888300000000400000081402ACN    
01BVMF        ON      NM201703201015000070BVMFC80     000000010000000002007000000000040400000000000128000000000000004400000000000172800000000200000101402ACN    
01BVMF        ON      NM201703200604000070BVMFC70     000000010000000002057000000000003300000000000131900000000000051900000000000187100000000500000071402ACN    
01BVMF  FM    ON      NM201703200019000070BVMFC19     000000010000000001882000000000038400000000000074100000000000533900000000000646400000001700000441391ACN    
01BVMF  FM    ON      NM201703200221000070BVMFC49     000000010000000001932000000000130300000000000753400000000000003800000000000887500000002000000261391ACN    
01BVMF  FM    ON      NM201703200230000070BVMFC20     000000010000000001982000000000148100000000000516700000000000577300000000001242100000004600000541391ACN    
01BVMF  FM    ON      NM201703200256000070BVMFC21     000000010000000002082000000000015000000000000425300000000000013100000000000453400000004900000311391ACN    
01BVMF  FM    ON      NM201703200639000070BVMFC48     000000010000000001857000000000006700000000000053600000000000173000000000000233300000000300000181401ACN    
01CCRO        ON      NM201703200868000070CCROC66     000000010000000001580000000000001000000000000170600000000000011200000000000182800000000300000041281ACN    
01CCRO        ON      NM201703200256000070CCROC15     000000010000000001530000000000000000000000000044800000000000000000000000000044800000000200000011301ACN    
