"DATE","TIME","BID","ASK","LAST","VOLUME"
2018.03.01,12:10:37.000,0.30,,,
2018.03.07,10:16:00.000,0.20,,,
2018.03.09,13:44:54.000,0.12,,,
2018.03.13,14:41:15.000,0.12,,,
2018.03.19,14:30:42.000,0.12,,,
2018.03.20,12:13:17.000,,2.32,,
2018.03.23,10:54:24.000,1.82,,,
2018.03.28,11:26:13.000,1.54,,,
2018.03.29,10:56:17.000,1.70,,,
2018.04.02,10:37:42.000,1.60,,,
2018.04.02,15:58:06.000,1.52,,,
2018.04.03,11:21:11.000,,1.64,,
2018.04.04,15:14:56.000,1.24,,,
2018.04.05,14:12:31.000,,1.61,,
2018.04.06,14:47:12.000,1.51,,,
2018.04.09,15:34:59.000,,1.43,,
2018.04.10,15:23:46.000,,1.61,,
2018.04.12,16:54:42.000,1.70,,,
2018.04.13,16:54:49.000,1.34,,,
2018.04.17,11:08:12.000,1.20,,,

